CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
hoods,alibii- What about earle,"hoods, alibii- What about earle",,,,,
hoods attack,,"hoods attack, ",,,,,
domestic,,"domestic, ",Domestic,,,,
revenge gay,,"revenge gay, ",,,,,
business dispite,,"business dispite, ",,,,,
sus 801,domestic,"sus 801, domestic",Domestic,,,,
beaten,beaten  dies later peretonitis,"beaten, beaten  dies later peretonitis",,,,,
,no suspects,", no suspects",,,,,
,not in press list,", not in press list",,,,,
,SEE  AH DUCK PIECE 12/9/82,", SEE  AH DUCK PIECE 12/9/82",,,,,
"saloon, bystander",10/3/77 first degree Direct,"saloon, bystander, 10/3/77 first degree Direct",,,Saloon,,
,Moon Ah Goon ? Ca 12/982 says Nov Stouts,", Moon Ah Goon ? Ca 12/982 says Nov Stouts",,,,,
with 2 others,v.Chung Sing Yueaka. 3/24/77- ch 12/27/7,"with 2 others, v.Chung Sing Yueaka. 3/24/77- ch 12/27/7",,,,,
drunk domestic,,"drunk domestic, ",Domestic,,,,
mental revenge,a nut but,"mental revenge, a nut but",,,,,
refused room to drunk,mansl convict 3/19,"refused room to drunk, mansl convict 3/19",,,,,
random hood attack,2/16 no clue re murderer,"random hood attack, 2/16 no clue re murderer",,,,,
direct no cause,,"direct no cause, ",,,,,
lodging house,kills his  tormenter. murder,"lodging house, kills his  tormenter. murder",,,,,
domestic by husband,,"domestic by husband, ",Domestic,,,,
reprisal of See Yup,by extortionist binder,"reprisal of See Yup, by extortionist binder",,,,,
over gambling  money,welsher in chinese den,"over gambling  money, welsher in chinese den",,,,,
religion,friend stirred it up,"religion, friend stirred it up",,,,,
refused sex,lover,"refused sex, lover",,,,,
sus 801,,"sus 801, ",,,,,
by lover,in street,"by lover, in street",,,,,
domestic by father,,"domestic by father, ",Domestic,,,,
cop killed,,"cop killed, ",,,,,
no known,,"no known, ",,,,,
domestic kills CHP husband,,"domestic kills CHP husband, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
Domestic,by husband,"Domestic, by husband",Domestic,,,,
domestic- he came home drunk,by wife,"domestic- he came home drunk, by wife",Domestic,,,,
sus 801,f/M is reverse of usual,"sus 801, f/M is reverse of usual",,,,,
reprisal fo fite,businessmen clash,"reprisal fo fite, businessmen clash",,,,,
domestic,by wife,"domestic, by wife",Domestic,,,,
hits wife,dies of complications,"hits wife, dies of complications",,,,,
over rent repeat,Byram 71 year bla man tries 801,"over rent repeat, Byram 71 year bla man tries 801",,,,,
may be october fishing camp,,"may be october fishing camp, ",,,,,
may be october,,"may be october, ",,,,,
direct no cause,,"direct no cause, ",,,,,
may be october,,"may be october, ",,,,,
domestic ex husband,,"domestic ex husband, ",Domestic,,,,
This is the one,,"This is the one, ",,,,,
domestic - with cement block,,"domestic - with cement block, ",Domestic,,,,
ove land,,"ove land, ",,,,,
or 11/17may be same?,Ah duck gets life kills in Q hangs,"or 11/17may be same?, Ah duck gets life kills in Q hangs",,,,,
sentence date 2/25/78,coasters- kills other in Q,"sentence date 2/25/78, coasters- kills other in Q",,,,,
domestic he had knife,shot five times,"domestic he had knife, shot five times",Domestic,,,,
dispute sailors,maybe same Nung at Prison Register,"dispute sailors, maybe same Nung at Prison Register",,,,,
"domestic, he accuses infidelity at party",muni driver,"domestic, he accuses infidelity at party, muni driver",Domestic,,,,
hoods attack,also 12/31/78call,"hoods attack, also 12/31/78call",,,,,
different frlm belos,to hang friday next call 12/31/78,"different frlm belos, to hang friday next call 12/31/78",,,,,
both enter in 3/31/82 CA,sentencinh info,"both enter in 3/31/82 CA, sentencinh info",,,,,
kills QM  White guy?U,mock Date,"kills QM  White guy?U, mock Date",,,,,
butchers fight,Direct has this in 1877 so watch direct,"butchers fight, Direct has this in 1877 so watch direct",,,,,
by common law at drink party. Domestic,,"by common law at drink party. Domestic, ",Domestic,,,,
saloon fight,,"saloon fight, ",,,Saloon,,
,evaded arrest,", evaded arrest",,,,,
fight,Self Defense,"fight, Self Defense",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
over room,clerk wouldn't give room,"over room, clerk wouldn't give room",,,,,
triangle,"Grand Jury ignored -- ""higher law""","triangle, Grand Jury ignored -- ""higher law""",,,,,
triangle,"gj ignored on grounds of ""higher law""","triangle, gj ignored on grounds of ""higher law""",,,,,
,Greek Arch priest,", Greek Arch priest",,,,,
domestic fight,,"domestic fight, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
fight/fued,"restarted duel, acquittd","fight/fued, restarted duel, acquittd",,,,,
saloon,7 years at quentin 12/31 call,"saloon, 7 years at quentin 12/31 call",,,Saloon,,
not clear,shoots hood acquitted call 12/31,"not clear, shoots hood acquitted call 12/31",,,,,
by partner,thrown from balcony,"by partner, thrown from balcony",,,,,
unknown,Mansion house lot on Dupont,"unknown, Mansion house lot on Dupont",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic argu,,"domestic argu, ",Domestic,,,,
intimate murder,aka rafferty her- he coast ranger call12,"intimate murder, aka rafferty her- he coast ranger call12",,,,,
actor,Woman says no. cops think 187,"actor, Woman says no. cops think 187",,,,,
friends fight,French Started it GJ ignored,"friends fight, French Started it GJ ignored",,,,,
business dispute,suspect sasy accident,"business dispute, suspect sasy accident",,,,,
domestic,,"domestic, ",Domestic,,,,
,Frey 3rd party -hit and dies,", Frey 3rd party -hit and dies",,,,,
busines dispute,"1 year, pardoned by gov. 12/31/82call","busines dispute, 1 year, pardoned by gov. 12/31/82call",,,,,
domestic,,"domestic, ",Domestic,,,,
sus 801,domestic,"sus 801, domestic",Domestic,,,,
throat cut,v. aka candido,"throat cut, v. aka candido",,,,,
gambling  den money,man arrested maybe same guy,"gambling  den money, man arrested maybe same guy",,,,,
domestic,,"domestic, ",Domestic,,,,
Industrial school inmate,"inmate hits instructor,mans","Industrial school inmate, inmate hits instructor,mans",,,,,
,arrested,", arrested",,,,,
domestic,,"domestic, ",Domestic,,,,
in his cigar store,many cites on this see 1879 file,"in his cigar store, many cites on this see 1879 file",,,,,
saloon angle?,she barbary coaster,"saloon angle?, she barbary coaster",,,Saloon,,
not clear,manslaughter charge,"not clear, manslaughter charge",,,,,
Lees has in summary,ex con ah Young  arr. ca11/22/79,"Lees has in summary, ex con ah Young  arr. ca11/22/79",,,,,
,2 others arrested also,", 2 others arrested also",,,,,
sus 801,domestic,"sus 801, domestic",Domestic,,,,
Unknown Golf course),not domestic,"Unknown Golf course), not domestic",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
saloon by tramp,"in saloon, held for murder","saloon by tramp, in saloon, held for murder",,,Saloon,,
business trouble  money,by partners see 1879 date file,"business trouble  money, by partners see 1879 date file",,,,,
,Arrested,", Arrested",,,,,
by nephew,in vics boarding  house. flees,"by nephew, in vics boarding  house. flees",,,,,
,sentencing ifo,", sentencing ifo",,,,,
later convicted,v.aka Wong Ah sing,"later convicted, v.aka Wong Ah sing",,,,,
over woman,,"over woman, ",,,,,
quarrel,,"quarrel, ",,,,,
sus 801 att.,9 years call 12/31/82,"sus 801 att., 9 years call 12/31/82",,,,,
revenge,,"revenge, ",,,,,
sus 801,domestic,"sus 801, domestic",Domestic,,,,
over M's wife,felt humiliated,"over M's wife, felt humiliated",,,,,
Or Yung Ah Toy. Dispute bet companies,11/80 Chew Ah Wing arrested,"Or Yung Ah Toy. Dispute bet companies, 11/80 Chew Ah Wing arrested",,,,,
,had threatened Tetlow with death,", had threatened Tetlow with death",,,,,
,friendly drunken stuggle man dies,", friendly drunken stuggle man dies",,,,,
insult mom,insulted mom and self,"insult mom, insulted mom and self",,,,,
domestic,,"domestic, ",Domestic,,,,
domes. tries 801,estranged husband,"domes. tries 801, estranged husband",,,,,
repeat in 1885 then 801,"followed him out and shot, convic mansl","repeat in 1885 then 801, followed him out and shot, convic mansl",,,,,
,fell on head before to asylum12/31/82,", fell on head before to asylum12/31/82",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
sus 801,shot by ex who killed self,"sus 801, shot by ex who killed self",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic menta,,"domestic menta, ",Domestic,,,,
domestic,stepson,"domestic, stepson",Domestic,,,,
,brother in law,", brother in law",,,,,
domestic gay?,,"domestic gay?, ",Domestic,,,,
family domestic,,"family domestic, ",Domestic,,,,
,house of ill repute,", house of ill repute",,,,,
domestic aged mom,,"domestic aged mom, ",Domestic,,,,
,acquitted same paper below see details,", acquitted same paper below see details",,,,,
,"flung rock, fell down staris, mans covic",", flung rock, fell down staris, mans covic",,,,,
,life sentence 12/31/82 names diffeernt,", life sentence 12/31/82 names diffeernt",,,,,
,no reason. sent to asylum,", no reason. sent to asylum",,,,,
,acquitted at trial,", acquitted at trial",,,,,
DA says innocent eventually,death sentence per 12/31/82 call,"DA says innocent eventually, death sentence per 12/31/82 call",,,,,
,rebuffed him. life 12/31/82 call,", rebuffed him. life 12/31/82 call",,,,,
,in Scan home. 3 years 12/31/82,", in Scan home. 3 years 12/31/82",,,,,
drunk coaster,"""only a chinaman""5years 12/31/82","drunk coaster, ""only a chinaman""5years 12/31/82",,,,,
,3 years 12/31/82,", 3 years 12/31/82",,,,,
,20 years per call 12/31/82,", 20 years per call 12/31/82",,,,,
SUS 801?,got story in year file 1882,"SUS 801?, got story in year file 1882",,,,,
sus 801 att,domestic,"sus 801 att, domestic",Domestic,,,,
,acquitted this paper,", acquitted this paper",,,,,
domestic,,"domestic, ",Domestic,,,,
,acquitted at trial 12/31/82,", acquitted at trial 12/31/82",,,,,
to jail in 1887 appeals?,former special now gamble door keeper,"to jail in 1887 appeals?, former special now gamble door keeper",,Gamble,,,
,see also 1/1/83 call,", see also 1/1/83 call",,,,,
,acquitted at trial 12/31/82,", acquitted at trial 12/31/82",,,,,
,coroner said justified,", coroner said justified",,,,,
,five years,", five years",,,,,
domestic,,"domestic, ",Domestic,,,,
,acquitted same paper below article,", acquitted same paper below article",,,,,
,reason not known,", reason not known",,,,,
domestic,,"domestic, ",Domestic,,,,
,See call 1/1/83,", See call 1/1/83",,,,,
,fite acquitted self  defense cal 1/1/83,", fite acquitted self  defense cal 1/1/83",,,,,
reprisal aka Cheek Chuck Ah,Paid hit hanged 10/1/87,"reprisal aka Cheek Chuck Ah, Paid hit hanged 10/1/87",,,,,
to die but not in Health dept list,see also 1/1/83 call death sentence,"to die but not in Health dept list, see also 1/1/83 call death sentence",,,,,
,cuts em when attacked. on bail,", cuts em when attacked. on bail",,,,,
,then suicide see 1/1/83call,", then suicide see 1/1/83call",,,,,
domestic,,"domestic, ",Domestic,,,,
,dog attacks also,", dog attacks also",,,,,
,sailor splits,", sailor splits",,,,,
refused to pay money,gets life,"refused to pay money, gets life",,,,,
,by storekeeper,", by storekeeper",,,,,
,guilty 10 years,", guilty 10 years",,,,,
,2 groups meet in street,", 2 groups meet in street",,,,,
,she said suicide when he no could  rob,", she said suicide when he no could  rob",,,,,
,first degree gets life,", first degree gets life",,,,,
aka hague,sentenced to hang-appeals-hangs,"aka hague, sentenced to hang-appeals-hangs",,,,,
trivial dispute,vic throwing firecrackers,"trivial dispute, vic throwing firecrackers",,,,,
,six companies posts reward,", six companies posts reward",,,,,
drunk neighbor,"claims insanity, gets life","drunk neighbor, claims insanity, gets life",,,,,
,not guilty self defense,", not guilty self defense",,,,,
domestic,,"domestic, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
,2nd degree convict,", 2nd degree convict",,,,,
domestic violen,set fire,"domestic violen, set fire",Domestic,,,,
wife triangle,former partner seduces wife,"wife triangle, former partner seduces wife",,,,,
sus 801,domestic,"sus 801, domestic",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
domestic,,"domestic, ",Domestic,,,,
,barkeep held for mansl,", barkeep held for mansl",,,,,
,capitalist 62 shot in ofifce,", capitalist 62 shot in ofifce",,,,,
sus 801,domestic,"sus 801, domestic",Domestic,,,,
,mansl,", mansl",,,,,
,gambler reputable sam yup,", gambler reputable sam yup",,Gamble,,,
,sef defense?,", sef defense?",,,,,
cop,,"cop, ",,,,,
,mans?,", mans?",,,,,
,"1st degree , life- saloon",", 1st degree , life- saloon",,,Saloon,,
,see June 3/84 trial second degree,", see June 3/84 trial second degree",,,,,
,"man kills cousin and self, nut?",", man kills cousin and self, nut?",,,,,
,self defense?,", self defense?",,,,,
Police killing?,man cut him it says self defense,"Police killing?, man cut him it says self defense",,,,,
,kills her then self,", kills her then self",,,,,
prostitute murder,no suspects,"prostitute murder, no suspects",,,,,
sus 801,"murder suicide, rebuffed","sus 801, murder suicide, rebuffed",,,,,
,hanger on around gambling jionts,", hanger on around gambling jionts",,,,,
,dying declaration but cleared,", dying declaration but cleared",,,,,
,"hanged on Sept 12, 1884",", hanged on Sept 12, 1884",,,,,
sus 801 reprisal -second killor,thought guy gave him upfor previous,"sus 801 reprisal -second killor, thought guy gave him upfor previous",,,,,
,Gow aka LowGam,", Gow aka LowGam",,,,,
prison register,,"prison register, ",,,,,
,1st degree life,", 1st degree life",,,,,
,dispute. republican parade,", dispute. republican parade",,,,,
,not arrested,", not arrested",,,,,
,2nd degree,", 2nd degree",,,,,
,election day deal call 11/10/84,", election day deal call 11/10/84",,,,,
,see call 11/25/84 big war in china see yup,", see call 11/25/84 big war in china see yup",,,,,
,Shoots husband of former wife,", Shoots husband of former wife",,,,,
,she makes $10k bail. story here,", she makes $10k bail. story here",,,,,
,Nellie Barbett,", Nellie Barbett",,,,,
,"alleged insults to former wife, Oscar sister",", alleged insults to former wife, Oscar sister",,,,,
,over stolen oranges killls barkeep,", over stolen oranges killls barkeep",,,,,
,prison register,", prison register",,,,,
Sus 801,had been estranged,"Sus 801, had been estranged",,,,,
,2nd degree,", 2nd degree",,,,,
,sailor by sailor 2nd degree life,", sailor by sailor 2nd degree life",,,,,
,"fighting over her, kill her, good case",", fighting over her, kill her, good case",,,,,
,"sent by dad, woman down staris, acquit",", sent by dad, woman down staris, acquit",,,,,
unsolved beef prior day,"came back and stabbed, insulted woman","unsolved beef prior day, came back and stabbed, insulted woman",,,,,
,"sis-in-law involved , mansl 10 yers",", sis-in-law involved , mansl 10 yers",,,,,
,"beef , stabs, flees",", beef , stabs, flees",,,,,
family beef,wrong date here but in this section,"family beef, wrong date here but in this section",,,,,
,tried but acquitted,", tried but acquitted",,,,,
,"pockets pulled out,cops said accident",", pockets pulled out,cops said accident",,,,,
new wife -sus 801,kills her then self,"new wife -sus 801, kills her then self",,,,,
,over Brown's wife,", over Brown's wife",,,,,
,note says hanged in 1877?,", note says hanged in 1877?",,,,,
duel impromptu,gunfite one died,"duel impromptu, gunfite one died",,,,,
,insurance $17k,", insurance $17k",,,,,
gambling house,fled,"gambling house, fled",,,,,
,"goes awry, mans 5 years",", goes awry, mans 5 years",,,,,
drunk both,"both drunk, 1st degree 17 years","drunk both, both drunk, 1st degree 17 years",,,,,
,2nd degree lfie,", 2nd degree lfie",,,,,
,"triangle, good one, celebritty, sensatin",", triangle, good one, celebritty, sensatin",,,,,
,"kills nite clerk, 2nd degree 25 yers",", kills nite clerk, 2nd degree 25 yers",,,,,
,"stabs self, 25 yrs",", stabs self, 25 yrs",,,,,
over woman money,continuances,"over woman money, continuances",,,,,
,shot boy harssing,", shot boy harssing",,,,,
story in unsolved file,found dead neck broke,"story in unsolved file, found dead neck broke",,,,,
,had woman arrested dispute,", had woman arrested dispute",,,,,
,split,", split",,,,,
,arrest in 1893 phony,", arrest in 1893 phony",,,,,
,"prior threats, almost lynch, acquitted",", prior threats, almost lynch, acquitted",,,,,
,"kills brewery foreman,lyunch,1st de,life",", kills brewery foreman,lyunch,1st de,life",,,,,
domestic,,"domestic, ",Domestic,,,,
,shoots at off Martin,", shoots at off Martin",,,,,
,at garden gate saying goodnite,", at garden gate saying goodnite",,,,,
,Arrested by Hogan,", Arrested by Hogan",,,,,
,he had been abraiding her about jealosy,", he had been abraiding her about jealosy",,,,,
,1st degree- life,", 1st degree- life",,,,,
,"got home and died,Mangels charged",", got home and died,Mangels charged",,,,,
,"Japanese, pleads not guilty",", Japanese, pleads not guilty",,,,,
,hanged,", hanged",,,,,
,owner of line prosecuted,", owner of line prosecuted",,,,,
,"hit Cleary, ex con for 459 at Russ Houss",", hit Cleary, ex con for 459 at Russ Houss",,,,,
,shoots vet in back in stable,", shoots vet in back in stable",,,,,
,mutual over woman both cut,", mutual over woman both cut",,,,,
domestic?,,"domestic?, ",Domestic,,,,
,Cops had just adjudicated,", Cops had just adjudicated",,,,,
,ejected hoodlum form saloon shoots,", ejected hoodlum form saloon shoots",,,Saloon,,
,Sent to Napa - insane,", Sent to Napa - insane",,,,,
,"he did it before, married female",", he did it before, married female",,,,,
prison register,,"prison register, ",,,,,
,one legged wife then self,", one legged wife then self",,,,,
,shoots former employee return to steal,", shoots former employee return to steal",,,,,
re: return of initiate fee tong money,Hanged Ca 12/29/88 (money),"re: return of initiate fee tong money, Hanged Ca 12/29/88 (money)",,,,,
